pdf,Title,Court,Date,No,page
a1,In re Pinkney,Supreme Court of Kansas,"July, 1891, Decided ; July 9, 1891, Filed",No Number in Original,21
a1,United States v. E. C. Knight Co.,"Circuit Court, E.D. Pennsylvania","January 30, 1894",No Number in Original,27
a1,United States v. Cassidy,"District Court, N.D. California","April 1, 1895; April 2, 1895",No. 3059,32
a1,United States v. Addyston Pipe & Steel Co.,"Circuit Court of Appeals, Sixth Circuit","February 8, 1898",No. 498,97
a1,Waters-Pierce Oil Co. v. State,"Court of Civil Appeals of Texas, Austin","March 9, 1898, Decided",No Number in Original,116
a1,State ex rel. Crow v. Firemen's Fund Ins. Co.,Supreme Court of Missouri,"July 15, 1899, Decided",No Number in Original,141
a1,Kevil v. Standard Oil Co.,"Superior Court of Cincinnati, Ohio","1900, Decided",No Number in Original,167
a1,WOODBERRY v. MCCLURG,Supreme Court of Mississippi,"March, 1901, Decided",No Number in Original,172
a1,Metcalf v. American School Furniture Co.,"Circuit Court, W.D. New York",13-May-01,No Number in Original,176
a1,National Salt Co. v. United Salt Co.,"Court of Common Pleas of Cuyahoga County, Ohio","February 8, 1902, Decided",No Number in Original,181
a1,Bement v. National Harrow Co.,Supreme Court of the United States,"Argued April 9, 10, 1902 ; May 19, 1902",No. 215,196
a1,State v. Shippers Compress & Warehouse Co.,Supreme Court of Texas,"June 19, 1902, Decided",No. 1125,211
a1,State ex rel. Crow v. Armour Packing Co.,Supreme Court of Missouri,"March 20, 1903, Decided",No Number in Original,221
a1,Supreme Lodge United Benev. Ass'n v. Johnson,Court of Civil Appeals of Texas,"November 14, 1903, Decided",No Number in Original,239
a1,"Chicago, Wilmington & Vermillion Coal Co. v. People","Court of Appeals of Illinois, Chicago, First District","1904, Decided ; May 12, 1904, Opinion Filed","Gen. No. 11,267.",242
a1,In re Bell,Supreme Court of Kansas,"January, 1904, Decided ; May 7, 1904, Filed","No. 13,750.",267
a1,State v. Jack,Supreme Court of Kansas,"January, 1904, Decided ; May 7, 1904, Filed","No. 13,774.",268
a1,Graf v. Master Horse-Shoers' Protective Ass'n,"Superior Court of Cincinnati, Ohio","January 12, 1904, Decided",No Number in Original,280
a1,A. Booth & Co. v. Davis,"Circuit Court, E.D. Michigan, S.D.",19-Jan-04,No Number in Original,286
a1,Needles v. Bishop & Babcock Co.,"Court of Common Pleas of Franklin County, Ohio","February 24, 1904, Decided",No Number in Original,293
a1,Ft. Worth & D. C. R. Co. v. State,Supreme Court of Texas,"May 18, 1905, Decided",No. 1412,297
a1,Wills v. Central Ice & Cold Storage Co.,Court of Civil Appeals of Texas,"May 20, 1905, Decided",No Number in Original,309
a1,Hunt v. Riverside Co-operative Club,Supreme Court of Michigan,"February 9, 1905, Submitted ; June 29, 1905, Decided",Docket No. 44,318
a1,Bobbs-Merrill Co. v. Straus,"Circuit Court, S.D. New York",11-Jul-05,No Number in Original,324
a1,In re Goode,"Court of Common Pleas of Hamilton County, Ohio","October 24, 1905, Decided",No Number in Original,356
a1,OPINION ON REHEARING,Supreme Court of Kansas,"January, 1906, Decided","No. 13,737.",360
a1,State v. Wilson,Supreme Court of Kansas,"January, 1906, Decided ; April 8, 1905, Filed","No. 13,737.",372
a1,"State v. Missouri, K. & T. R. Co.",Supreme Court of Texas,"February 26, 1906, Decided",No. 1491,378
a1,Norton v. W. H. Thomas & Sons Co.,Supreme Court of Texas,"March 19, 1906, Decided",No. 1526,390
a1,State ex rel. Taylor v. Ross,"Court of Common Pleas of Ashtabula County, Ohio","May 5, 1906, Decided",No Number in Original,394
a1,State v. Hygeia Ice Co.,"Court of Common Pleas of Lucas County, Ohio","August 3, 1906, Decided",No Number in Original,411
a1,State v. Crystal Ice Mfg. & Cold Storage Co.,"Court of Common Pleas of Franklin County, Ohio","November 30, 1906, Decided",No Number in Original,419
a1,John D. Park & Sons Co. v. Hartman,"Circuit Court of Appeals, Sixth Circuit",14-Mar-07,"No. 1,581",425
a1,R. J. Reynolds Tobacco Co. v. Allen Bros. Tobacco Co.,"Circuit Court, W.D. Virginia",20-Mar-07,No Number in Original,445
a1,State v. Ice Delivery Co.,"Court of Common Pleas of Hamilton County, Ohio","March 23, 1907, Decided",No Number in Original,460
a1,Rubber Tire Wheel Co. v. Milwaukee Rubber Works Co.,"Circuit Court of Appeals, Seventh Circuit",16-Apr-07,"No. 1,336",479
a1,State v. Bovee,"Court of Common Pleas of Lorain County, Ohio","June 8, 1907, Decided",No Number in Original,486
a1,Waters-Pierce Oil Co. v. State,Court of Civil Appeals of Texas,"December 11, 1907, Decided",No. 4212.,495
a1,Dr. Miles Medical Co. v. John D. Park & Sons Co.,"Circuit Court of Appeals, Sixth Circuit",10-Sep-08,"No. 1,797",517
a1,Redland Fruit Co. v. Sargent,Court of Civil Appeals of Texas,"October 15, 1908, Decided",No Number in Original,523
a1,Terr. v. Long Bell Lumber Co.,Supreme Court of Oklahoma,"November, 1908, Decided ; December 21, 1908, Opinion Filed","No. 2099, 2100 and 2101, Okla T.",529
a1,State v. Brady,Court of Civil Appeals of Texas,"November 25, 1908, Decided",No Number in Original,546
a1,Bigelow v. Calumet & H. Min. Co.,"Circuit Court of Appeals, Sixth Circuit",18-Feb-09,"No. 1,897; No. 1,898",549
a1,State ex rel. Hadley v. Std. Oil Co.,Supreme Court of Missouri,"March 9, 1909, Decided",No Number in Original,566
a1,State v. General Fire Extinguisher Co.,"Court of Common Pleas of Summit County, Ohio","January, 1910, Decided",No Number in Original,652
a1,People v. Sacramento Butchers' Protective Asso.,"Court of Appeal of California, Third Appellate District","January 22, 1910, Decided",Crim. No. 96,660
a1,Corn Products Refining Co. v. Roser-Runkle Co.,"Court of Common Pleas of Hardin County, Ohio","April, 1910, Decided",No Number in Original,676
a1,State v. Glenn Lumber Co.,Supreme Court of Kansas,"July, 1910, Decided ; November 5, 1910, Filed","No. 17,085.",680
a1,Malakoff Gin Co. v. Riddlesperger,Court of Civil Appeals of Texas,"December 10, 1910, Decided",No Number in Original,686
a1,State v. Racine Sattley Co.,Court of Civil Appeals of Texas,"January 25, 1911, Decided",No Number in Original,690
a1,Standard Oil Co. v. United States,Supreme Court of the United States,"Argued March 14, 15, 16, 1910; restored to docket for reargument April 11, 1910; reargued January 12, 13, 16, 17,1911.  ; May 15, 1911, Decided",No Number in Original,700
a1,United States v. Union P. R. Co.,"Circuit Court, D. Utah",24-Jun-11,No. 993,759
a1,Larabee Flour Mills Co. v. Missouri P. R. Co.,Supreme Court of Kansas,"July, 1911, Decided ; July 7, 1911, Filed","No. 15,167.",771
a1,Dukate v. Adams,Supreme Court of Mississippi,"March, 1912, Decided",No Number in Original,780
a1,Smith v. Morganton Ice Co.,Supreme Court of North Carolina,"May 15, 1912, Filed",No Number in Original,786
a1,United States v. Union P. R. Co.,Supreme Court of the United States,"Argued April 19, 22, 23, 1912.  ; December 2, 1912, Decided",No. 446.,791
a1,United States v. Lake Shore & M. S. R. Co.,"District Court, S.D. Ohio, E.D.",28-Dec-12,"No. 1,584",812
a1,United States v. Great Lakes Towing Co.,"District Court, N.D. Ohio, E.D.",11-Feb-13,"No. 8,003",836
a1,Robert H. Ingersoll & Bro. v. McColl,"District Court, D. Minnesota, Third Division",17-Mar-13,No Number in Original,847
a1,State ex rel. Jones v. Mallinckrodt Chemical Works,Supreme Court of Missouri,"April 28, 1913, Decided",No Number in Original,854
a1,Continental Sec. Co. v. Interborough Rapid Transit Co.,"District Court, S.D. New York",2-Jun-13,No. 2-214; No. 4-5,879
a1,Standard Oil Co. v. State,Supreme Court of Mississippi,"March, 1914, Decided",No Number in Original,886
a1,International Harvester Co. v. Kentucky,Supreme Court of the United States,"Argued April 24, 1914 ; June 22, 1914",No. 298,897
a1,Co-operative Live Stock Com. Co. v. Browning,Supreme Court of Missouri,"July 2, 1914, Decided",No Number in Original,900
a1,State ex rel. Moose v. Frank,Supreme Court of Arkansas,"July 13, 1914, Opinion Delivered",No Number in Original,914
a1,McCall Co. v. O'Neil,"Court of Common Pleas of Franklin County, Ohio","November 12, 1914, Decided",No Number in Original,920
a1,Guyton v. Eastern Electric Co.,Supreme Court of Ohio,"November 24, 1914, Decided",No. 13916,929
a1,United States v. Rockefeller,"District Court, S.D. New York",16-Apr-15,No Number in Original,933
a1,State ex rel. Barker v. Armour Packing Co.,Supreme Court of Missouri,"May 3, 1915, Decided",No Number in Original,935
a1,Munter v. Eastman Kodak Co.,"Court of Appeal of California, Third Appellate District","October 26, 1915, Decided",Civ. No. 1349,962
a1,"Frey & Son, Inc. v. Cudahy Packing Co.","District Court, D. Maryland",9-Dec-15,No Number in Original,969
a1,Bogata Mercantile Co. v. Outcault Advertising Co.,"Court of Civil Appeals of Texas, Texarkana","January 13, 1916, Decided",No. 1528.,974
a1,Woods v. Am. Brewing Ass'n,"Court of Civil Appeals of Texas, Beaumont","January 20, 1916, Decided",No. 57.,979
a1,Henry Gildehaus Co. v. Busse & Borgman Co.,"Court of Common Pleas of Hamilton County, Ohio","November, 1916, Decided",No Number in Original,997
