pdf,Title,Court,Date,No,page,Court_level,Argued,Decided,Others
a1,In re Pinkney,Supreme Court of Kansas,"July, 1891, Decided ; July 9, 1891, Filed",No Number in Original,21,Supreme,,1891/7/1,1891/07/09
a1,United States v. E. C. Knight Co.,"Circuit Court, E.D. Pennsylvania","January 30, 1894",No Number in Original,27,Circuit,,,1894/01/30
a1,United States v. Cassidy,"District Court, N.D. California","April 1, 1895; April 2, 1895",No. 3059,32,District,,,"1895/04/01, 1895/04/02"
a1,United States v. Addyston Pipe & Steel Co.,"Circuit Court of Appeals, Sixth Circuit","February 8, 1898",No. 498,97,Circuit,,,1898/02/08
a1,Waters-Pierce Oil Co. v. State,"Court of Civil Appeals of Texas, Austin","March 9, 1898, Decided",No Number in Original,116,Civil Appeals,,1898/3/9,
a1,State ex rel. Crow v. Firemen's Fund Ins. Co.,Supreme Court of Missouri,"July 15, 1899, Decided",No Number in Original,141,Supreme,,1899/7/15,
a1,Kevil v. Standard Oil Co.,"Superior Court of Cincinnati, Ohio","1900, Decided",No Number in Original,167,Superior,,1900/6/1,
a1,WOODBERRY v. MCCLURG,Supreme Court of Mississippi,"March, 1901, Decided",No Number in Original,172,Supreme,,1901/3/1,
a1,Metcalf v. American School Furniture Co.,"Circuit Court, W.D. New York",13-May-01,No Number in Original,176,Circuit,,,2001/05/13
a1,National Salt Co. v. United Salt Co.,"Court of Common Pleas of Cuyahoga County, Ohio","February 8, 1902, Decided",No Number in Original,181,Common Pleas,,1902/2/8,
a1,Bement v. National Harrow Co.,Supreme Court of the United States,"Argued April 9, 10, 1902 ; May 19, 1902",No. 215,196,Supreme,2010/4/9,,1902/05/19
a1,State v. Shippers Compress & Warehouse Co.,Supreme Court of Texas,"June 19, 1902, Decided",No. 1125,211,Supreme,,1902/6/19,
a1,State ex rel. Crow v. Armour Packing Co.,Supreme Court of Missouri,"March 20, 1903, Decided",No Number in Original,221,Supreme,,1903/3/20,
a1,Supreme Lodge United Benev. Ass'n v. Johnson,Court of Civil Appeals of Texas,"November 14, 1903, Decided",No Number in Original,239,Civil Appeals,,1903/11/14,
a1,"Chicago, Wilmington & Vermillion Coal Co. v. People","Court of Appeals of Illinois, Chicago, First District","1904, Decided ; May 12, 1904, Opinion Filed","Gen. No. 11,267.",242,Appeal,,1904/6/1,1904/05/12
a1,In re Bell,Supreme Court of Kansas,"January, 1904, Decided ; May 7, 1904, Filed","No. 13,750.",267,Supreme,,1904/1/1,1904/05/07
a1,State v. Jack,Supreme Court of Kansas,"January, 1904, Decided ; May 7, 1904, Filed","No. 13,774.",268,Supreme,,1904/1/1,1904/05/07
a1,Graf v. Master Horse-Shoers' Protective Ass'n,"Superior Court of Cincinnati, Ohio","January 12, 1904, Decided",No Number in Original,280,Superior,,1904/1/12,
a1,A. Booth & Co. v. Davis,"Circuit Court, E.D. Michigan, S.D.",19-Jan-04,No Number in Original,286,Circuit,,,2004/01/19
a1,Needles v. Bishop & Babcock Co.,"Court of Common Pleas of Franklin County, Ohio","February 24, 1904, Decided",No Number in Original,293,Common Pleas,,1904/2/24,
a1,Ft. Worth & D. C. R. Co. v. State,Supreme Court of Texas,"May 18, 1905, Decided",No. 1412,297,Supreme,,1905/5/18,
a1,Wills v. Central Ice & Cold Storage Co.,Court of Civil Appeals of Texas,"May 20, 1905, Decided",No Number in Original,309,Civil Appeals,,1905/5/20,
a1,Hunt v. Riverside Co-operative Club,Supreme Court of Michigan,"February 9, 1905, Submitted ; June 29, 1905, Decided",Docket No. 44,318,Supreme,,1905/6/29,1905/02/09
a1,Bobbs-Merrill Co. v. Straus,"Circuit Court, S.D. New York",11-Jul-05,No Number in Original,324,Circuit,,,2005/07/11
a1,In re Goode,"Court of Common Pleas of Hamilton County, Ohio","October 24, 1905, Decided",No Number in Original,356,Common Pleas,,1905/10/24,
a1,OPINION ON REHEARING,Supreme Court of Kansas,"January, 1906, Decided","No. 13,737.",360,Supreme,,1906/1/1,
a1,State v. Wilson,Supreme Court of Kansas,"January, 1906, Decided ; April 8, 1905, Filed","No. 13,737.",372,Supreme,,1906/1/1,1905/04/08
a1,"State v. Missouri, K. & T. R. Co.",Supreme Court of Texas,"February 26, 1906, Decided",No. 1491,378,Supreme,,1906/2/26,
a1,Norton v. W. H. Thomas & Sons Co.,Supreme Court of Texas,"March 19, 1906, Decided",No. 1526,390,Supreme,,1906/3/19,
a1,State ex rel. Taylor v. Ross,"Court of Common Pleas of Ashtabula County, Ohio","May 5, 1906, Decided",No Number in Original,394,Common Pleas,,1906/5/5,
a1,State v. Hygeia Ice Co.,"Court of Common Pleas of Lucas County, Ohio","August 3, 1906, Decided",No Number in Original,411,Common Pleas,,1906/8/3,
a1,State v. Crystal Ice Mfg. & Cold Storage Co.,"Court of Common Pleas of Franklin County, Ohio","November 30, 1906, Decided",No Number in Original,419,Common Pleas,,1906/11/30,
a1,John D. Park & Sons Co. v. Hartman,"Circuit Court of Appeals, Sixth Circuit",14-Mar-07,"No. 1,581",425,Circuit,,,2007/03/14
a1,R. J. Reynolds Tobacco Co. v. Allen Bros. Tobacco Co.,"Circuit Court, W.D. Virginia",20-Mar-07,No Number in Original,445,Circuit,,,2007/03/20
a1,State v. Ice Delivery Co.,"Court of Common Pleas of Hamilton County, Ohio","March 23, 1907, Decided",No Number in Original,460,Common Pleas,,1907/3/23,
a1,Rubber Tire Wheel Co. v. Milwaukee Rubber Works Co.,"Circuit Court of Appeals, Seventh Circuit",16-Apr-07,"No. 1,336",479,Circuit,,,2007/04/16
a1,State v. Bovee,"Court of Common Pleas of Lorain County, Ohio","June 8, 1907, Decided",No Number in Original,486,Common Pleas,,1907/6/8,
a1,Waters-Pierce Oil Co. v. State,Court of Civil Appeals of Texas,"December 11, 1907, Decided",No. 4212.,495,Civil Appeals,,1907/12/11,
a1,Dr. Miles Medical Co. v. John D. Park & Sons Co.,"Circuit Court of Appeals, Sixth Circuit",10-Sep-08,"No. 1,797",517,Circuit,,,2008/09/10
a1,Redland Fruit Co. v. Sargent,Court of Civil Appeals of Texas,"October 15, 1908, Decided",No Number in Original,523,Civil Appeals,,1908/10/15,
a1,Terr. v. Long Bell Lumber Co.,Supreme Court of Oklahoma,"November, 1908, Decided ; December 21, 1908, Opinion Filed","No. 2099, 2100 and 2101, Okla T.",529,Supreme,,1908/11/1,1908/12/21
a1,State v. Brady,Court of Civil Appeals of Texas,"November 25, 1908, Decided",No Number in Original,546,Civil Appeals,,1908/11/25,
a1,Bigelow v. Calumet & H. Min. Co.,"Circuit Court of Appeals, Sixth Circuit",18-Feb-09,"No. 1,897; No. 1,898",549,Circuit,,,2009/02/18
a1,State ex rel. Hadley v. Std. Oil Co.,Supreme Court of Missouri,"March 9, 1909, Decided",No Number in Original,566,Supreme,,1909/3/9,
a1,State v. General Fire Extinguisher Co.,"Court of Common Pleas of Summit County, Ohio","January, 1910, Decided",No Number in Original,652,Common Pleas,,1910/1/1,
a1,People v. Sacramento Butchers' Protective Asso.,"Court of Appeal of California, Third Appellate District","January 22, 1910, Decided",Crim. No. 96,660,Appeal,,1910/1/22,
a1,Corn Products Refining Co. v. Roser-Runkle Co.,"Court of Common Pleas of Hardin County, Ohio","April, 1910, Decided",No Number in Original,676,Common Pleas,,1910/4/1,
a1,State v. Glenn Lumber Co.,Supreme Court of Kansas,"July, 1910, Decided ; November 5, 1910, Filed","No. 17,085.",680,Supreme,,1910/7/1,1910/11/05
a1,Malakoff Gin Co. v. Riddlesperger,Court of Civil Appeals of Texas,"December 10, 1910, Decided",No Number in Original,686,Civil Appeals,,1910/12/10,
a1,State v. Racine Sattley Co.,Court of Civil Appeals of Texas,"January 25, 1911, Decided",No Number in Original,690,Civil Appeals,,1911/1/25,
